trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-64.82045471049162,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.95}",20,0,-80.62233181794836,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.8999999999999999}",30,0,-143.851041057844,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.75, 'e': 0.8499999999999999}",30,0,-130.67857474233608,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.7999999999999998}",25,0,-38.31299172485283,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.7499999999999998}",20,0,-67.6914813035039,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.6999999999999997}",30,0,-104.9229350834137,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.6499999999999997}",20,0,-73.21279131097205,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.5999999999999996}",25,9,-21.011725585187616,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.75, 'e': 0.5499999999999996}",20,0,-89.90259943171185,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.4999999999999996}",20,0,-39.3200511422142,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.4499999999999996}",25,2,-14.80648299405093,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.75, 'e': 0.39999999999999963}",25,15,-48.99721520534613,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.75, 'e': 0.34999999999999964}",20,0,-12.562407897830244,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.29999999999999966}",20,7,-44.570544679638104,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.75, 'e': 0.24999999999999967}",30,8,2.368535305011618,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.19999999999999968}",25,0,-4.224690789380694,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.1499999999999997}",25,15,-1.5412764015563054,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.75, 'e': 0.09999999999999969}",25,12,-31.09746715483022,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.75, 'e': 0.049999999999999684}",30,17,20.742330407454105,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-26.252454870154192,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,11,15.674478876610106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,-25.588263950420778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,16,16.489901700114224,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,-60.624833551412074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,0,12.797068147520617,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,16,23.845718622305668,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,25.807037106115146,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,4,31.257209556400994,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,9.302309604506576,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
