trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.99}",20,0,-139.95517437847926,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.9801}",25,0,-146.64617832159672,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.970299}",20,8,-57.78307736096078,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.75, 'e': 0.96059601}",20,0,-112.55671505670458,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.9509900498999999}",20,7,-49.99408413854908,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.75, 'e': 0.941480149401}",25,0,-235.73659848974611,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.75, 'e': 0.9320653479069899}",20,0,-97.72746790523647,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.9227446944279201}",20,0,-114.79261542166509,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.9135172474836408}",20,0,-78.3774094535709,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.9043820750088044}",20,0,-68.5354181338467,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.8953382542587164}",25,0,-63.89364551273256,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.8863848717161292}",20,0,-85.43288049769326,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.8775210229989678}",30,0,-132.7722377591085,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.8687458127689782}",25,0,-87.33904541987553,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.75, 'e': 0.8600583546412884}",30,0,-77.36491034461983,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.75, 'e': 0.8514577710948755}",30,0,-133.07286085058473,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.75, 'e': 0.8429431933839268}",20,0,-72.60518810280436,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.8345137614500875}",20,0,-75.59059359465235,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.8261686238355866}",20,9,7.141222432649463,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.75, 'e': 0.8179069375972308}",20,0,-167.24641529316705,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.75, 'e': 0.8097278682212584}",25,0,-66.53408916902161,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.75, 'e': 0.8016305895390459}",20,0,-50.99168891475382,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.75, 'e': 0.7936142836436554}",25,4,-114.63078511436092,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 2}",1
24,False,"{'a': 0.75, 'e': 0.7856781408072188}",30,0,-97.91111435432708,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
