trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.16238446350438,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.11464053070847,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.88076102703434,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-51.84090246975795,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,15,4.215869503160174,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.30308484187874,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.50586254118019,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.80251793335663,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.61101133449655,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.37810201398648,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.51368247950378,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.1730984919453,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.0550689640388,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.66032576355602,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,21,-0.4557092867007937,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-123.57934587550076,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.4474157294451,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.1848943568518,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.32013907874438,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.75217132163453,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.55639215646588,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.59711469441172,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.00675126692744,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.4232213786737,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.9157558650688,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.66874970531283,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,14,-104.77375952529945,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.83816672631276,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,0.9784920771963549,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.36667962816074,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
